Source,Species,Presence
BAL/TA,C. albicans,1
BAL/TA,C. parapsilosis,0
BAL/TA,C. tropicalis,1
BAL/TA,C. glabrata,0
BAL/TA,C. krusei,0
BAL/TA,C. haemulonii,0
BAL/TA,C. kefyr,0
BAL/TA,C. pelliculosa,0
Injury,C. albicans,1
Injury,C. parapsilosis,1
Injury,C. tropicalis,1
Injury,C. glabrata,0
Injury,C. krusei,1
Injury,C. haemulonii,1
Injury,C. kefyr,0
Injury,C. pelliculosa,1
Sputum,C. albicans,1
Sputum,C. parapsilosis,0
Sputum,C. tropicalis,0
Sputum,C. glabrata,0
Sputum,C. krusei,0
Sputum,C. haemulonii,0
Sputum,C. kefyr,0
Sputum,C. pelliculosa,0
Urine,C. albicans,1
Urine,C. parapsilosis,1
Urine,C. tropicalis,1
Urine,C. glabrata,1
Urine,C. krusei,1
Urine,C. haemulonii,0
Urine,C. kefyr,1
Urine,C. pelliculosa,0
Vaginal Swab,C. albicans,1
Vaginal Swab,C. parapsilosis,0
Vaginal Swab,C. tropicalis,0
Vaginal Swab,C. glabrata,1
Vaginal Swab,C. krusei,0
Vaginal Swab,C. haemulonii,0
Vaginal Swab,C. kefyr,0
Vaginal Swab,C. pelliculosa,0
